Gd-St,DIDE,DIME,MIPA,PELO,DIOR,ONsp,PEMA,PETR,TotalCaps,SR
1101,4,,4,,1,,,,9,3
1102,1,,1,3,1,,,,6,4
1103,1,1,1,5,,,,,8,4
1104,2,,4,2,,,,,8,3
1105,3,2,1,1,,,,,7,4
1106,5,,1,2,,,,,8,3
1107,4,1,4,5,,,,,14,4
1108,2,,,,,,,,2,1
1109,1,,,1,,,,,2,2
1110,,,1,1,,,,,2,2
1111,,,3,,1,,,,4,2
1112,1,,1,1,1,,,,4,4
1113,1,1,1,1,2,,,,6,5
1114,3,1,,,2,,,,6,3
1115,,1,2,1,,,,,4,3
1116,2,1,,1,,,,,4,3
1201,1,,5,1,,,,,7,3
1202,2,2,2,1,,,,,7,4
1203,,2,1,3,1,,,,7,4
1204,,3,1,2,,,,,6,3
1205,4,,,,,,,,4,1
1206,3,2,2,2,,,,,9,4
1207,,2,2,1,,,,1,6,4
1208,2,1,2,1,,,,,6,4
1209,,,2,1,,,,,3,2
1210,2,,1,1,,,,,4,3
1211,1,1,,,,,,,2,2
1212,1,,1,,1,,,,3,3
1213,4,,2,,,,,,6,2
1214,,,1,4,,,,,5,2
1215,,1,1,3,,,,,5,3
1216,,,1,2,,,,1,4,3
1301,,,3,,,,,,3,1
1302,4,,,3,,,,,7,2
1303,3,,1,2,,,,,6,3
1304,3,,1,,,,,,4,2
1305,3,,,,,,,,3,2
1306,2,3,4,2,,,,,11,4
1307,1,7,,2,,,,,10,3
1308,1,3,2,2,,,,,8,4
1309,2,1,,3,,,,,6,3
1310,1,2,1,2,,,,,6,4
1311,,,1,,,,,,1,1
1312,1,1,1,1,,,,,4,4
1313,,1,1,4,,,,,6,3
1314,1,,3,,,,,,4,2
1315,,,2,2,,,,,4,2
1316,3,1,1,,,,,,5,3
1401,3,2,3,2,,,,,10,4
1402,3,,4,2,,,,,9,3
1403,1,2,5,,,,,,8,3
1404,,1,3,,,,,,4,2
1405,,,1,4,,,,,5,2
1406,,,1,5,,,,,6,2
1407,1,6,1,1,,,,,9,4
1408,2,1,2,3,,,,1,9,5
1409,,5,,3,,,,,8,3
1410,,1,3,2,,,,,6,3
1411,3,4,3,4,,,,,14,4
1412,1,,5,,1,,,,7,3
1413,,,4,3,,,,,7,2
1414,3,3,2,,,1,,,9,4
1415,3,2,2,1,,,,,8,4
1416,4,,2,1,1,,,,8,4
2101,1,,6,,,1,,,8,3
2102,7,,5,,,,,,12,2
2103,3,,1,1,1,,,,6,4
2104,3,1,,1,1,,,,6,4
2105,5,5,,3,1,,,,14,4
2106,3,2,1,2,,,,,8,4
2107,1,4,,5,,,,,10,3
2108,3,3,2,1,,,,,9,4
2109,,3,,3,,,,,6,3
2110,2,3,2,1,,,,,8,4
2111,,5,3,4,1,,,,13,4
2112,1,1,2,2,,,,,6,4
2113,3,,4,1,,,,,8,3
2114,1,3,4,,,1,,,9,4
2115,,7,3,1,,,,,11,3
2116,1,3,,5,,1,,,10,4
2201,,,3,,,,,,3,1
2202,2,,3,,,,,,5,2
2203,1,,1,1,,,,,3,3
2204,1,,,1,,1,,,3,3
2205,2,,2,1,1,,,,6,4
2206,,,,1,,,,,1,2
2207,1,1,1,,3,,,,6,4
2208,1,1,,4,,,,,6,4
2209,1,4,1,,,,,,6,3
2210,,3,,,,,,,3,1
2211,,1,4,2,,,,,7,3
2212,,1,1,,,,1,,3,3
2213,,,2,3,,,,,5,2
2214,2,1,,1,,,,,4,4
2215,,5,2,1,,,,,8,3
2216,,3,,3,,,,,6,2
2301,,,3,,,,,,3,1
2302,,,,,,,,,0,0
2303,,,1,2,,,,,3,2
2304,,,3,1,,,,,4,2
2305,2,1,,,,,,,3,2
2306,4,,1,1,,,,,6,3
2307,2,,1,1,,,,,4,3
2308,2,,1,2,,,,,5,3
2309,,1,3,,,,,,4,2
2310,,,2,4,,,,,6,2
2311,1,1,,3,,,,,5,3
2312,,,1,1,,,,,2,2
2313,1,2,,1,,,,,4,3
2314,,2,,1,,,,,3,3
2315,,9,3,3,,,,,15,3
2316,2,11,1,2,1,1,,,18,6
2401,2,,6,,,,,,8,2
2402,,,2,1,,,,,3,2
2403,,,3,,,,,,3,1
2404,1,,5,,,,,,6,2
2405,1,,2,1,,1,,,5,4
2406,4,,1,,,,,,5,2
2407,1,,1,1,,,,,3,3
2408,6,,1,,,,,,7,2
2409,,,3,1,,,,,4,2
2410,1,,2,,,,,,3,2
2411,1,,3,,,,,,4,2
2412,5,1,5,2,,,,,13,4
2413,2,1,2,2,,,,,7,4
2414,,7,1,5,1,,,,14,4
2415,5,4,,5,,,,,14,3
2416,1,8,2,3,,,,,14,4
3101,,,2,1,,,,,3,2
3102,,,3,,,,,,3,1
3103,,,2,,,,1,,3,2
3104,,,4,,,,,,4,1
3105,,,2,,,,,,2,1
3106,,,2,,,,,,2,1
3107,,,7,,,,,,7,1
3108,1,,3,,,,,,4,2
3109,1,,2,,,,,,3,2
3110,,,2,2,,,,,4,2
3111,1,,1,7,,,,,9,3
3112,4,,2,5,,1,,,12,4
3113,1,2,1,4,,,,,8,4
3114,1,3,3,3,1,,,,11,5
3115,1,,3,3,1,,,,8,4
3116,,2,6,2,,,,,10,3
3201,,,4,,,,,,4,1
3202,,,1,,,,,,1,1
3203,,,1,,,,,,1,1
3204,,,2,,,,1,,3,2
3205,,,1,,,,,,1,1
3206,,,,,,,,,0,0
3207,,,1,,,,,,1,1
3208,,,3,,,,,,3,1
3209,,,,2,,,,,2,1
3210,,,,2,,,,,2,1
3211,2,,1,2,,,,,5,3
3212,3,2,,,,,,,5,2
3213,,,1,,,,,,1,1
3214,2,1,,3,,,,,6,3
3215,2,1,2,,,,,,5,3
3216,1,5,3,5,,1,,,15,5
3301,,,3,,,,,,3,1
3302,,,,,,,,,0,0
3303,,,1,,,,,,1,1
3304,,,1,,,,,,1,1
3305,1,,,,,,,,1,1
3306,,,2,1,,,,,3,2
3307,,,2,,,,,,2,1
3308,3,,1,1,,,,,5,3
3309,,,2,5,,,,,7,2
3310,1,,,,,,,,1,1
3311,1,1,1,2,,,,,5,4
3312,,5,1,4,,,,,10,3
3313,,1,1,2,,,,,4,3
3314,,6,1,2,,,,,9,3
3315,,1,2,2,,,,,5,3
3316,,4,3,6,,,,,13,3
3401,,1,3,1,,,,,5,3
3402,,,,2,,,,,2,1
3403,,,,,,,,,0,0
3404,2,,,,,1,,,3,2
3405,4,,1,,,,,,5,2
3406,2,,4,1,,,,,7,3
3407,,,1,2,,,,,3,2
3408,,,4,1,,,,,5,2
3409,2,,3,3,,,,,8,3
3410,,2,4,3,,,,,9,3
3411,2,3,,2,,,,,7,3
3412,,4,,,,,,,4,1
3413,,2,3,2,,,,,7,3
3414,,,5,2,,,,,7,2
3415,1,2,2,3,,,,,8,4
3416,,1,1,9,,,,,11,3
4101,,1,1,,,,,,2,2
4102,2,,,5,3,1,,,11,4
4103,2,4,,,,,,,6,2
4104,,1,,7,,,,,8,2
4105,3,3,,2,,,,,8,3
4106,,3,1,,1,,,,5,3
4107,,7,,3,1,,,,11,3
4108,,3,1,10,4,,,,18,4
4109,2,6,1,2,,,,,11,4
4110,,10,,3,,,,,13,2
4111,,1,4,9,,,,1,15,4
4112,,6,1,,,,,,7,2
4113,,6,1,3,1,,,,11,4
4114,1,11,,2,,,,,14,3
4115,2,7,1,4,,,,,14,4
4116,,5,4,1,,,,,10,3
4201,,,1,,3,,,,4,2
4202,,,,3,4,,,,7,2
4203,,2,,2,1,,,,5,3
4204,1,,1,4,,,,,6,3
4205,1,1,,2,,,,,4,3
4206,,,,1,2,,,1,4,3
4207,1,1,,3,1,,,,6,4
4208,,,,4,,,,,4,1
4209,,,1,1,,,,,2,2
4210,,2,1,2,,,,,5,3
4211,,3,2,1,,,,,6,3
4212,,,4,,,,,,4,1
4213,1,3,,,,,,,4,2
4214,2,1,,4,,,,,7,3
4215,1,5,1,2,1,1,,,11,6
4216,,2,2,6,1,,,,11,4
4301,,,1,1,,1,,,3,3
4302,,2,1,3,1,,,,7,4
4303,,,1,2,,,,,3,2
4304,,,1,3,,,,1,5,3
4305,3,1,,1,,,,,5,3
4306,3,,,3,1,,,,7,3
4307,,,,4,,,,,4,1
4308,,,,2,1,,,,3,2
4309,,,,2,,,,,2,1
4310,,,1,4,,,,,5,2
4311,,1,,3,,,,,4,2
4312,1,,,,,1,,,2,2
4313,3,,1,1,,,,,5,3
4314,1,6,1,4,,,,,12,4
4315,4,1,1,4,,,,,10,4
4316,1,7,1,2,2,1,,,14,6
4401,,2,5,,,,,,7,2
4402,1,2,1,3,,,,,7,4
4403,,,,6,,,,,6,1
4404,5,,,2,,,,,7,2
4405,4,,1,3,,,,,8,3
4406,1,,1,2,1,,,,5,4
4407,1,,,2,,,,,3,2
4408,,,,1,2,,,,3,2
4409,,1,3,1,,,,,5,3
4410,,,,,,,,,0,0
4411,,,3,,,,,,3,1
4412,1,1,,,,,,,2,2
4413,2,1,,3,,,,,6,3
4414,,3,1,1,,,,,5,3
4415,2,2,,2,2,,,,8,3
4416,,2,2,4,2,,,1,11,5
5101,,,5,2,,,,,7,2
5102,,,,2,,,,,2,1
5103,1,,1,1,,,,,3,3
5104,1,,3,,,,,,4,2
5105,,,4,,,,,,4,1
5106,,9,,4,,,,,13,2
5107,,2,,1,,,,,3,2
5108,,2,2,5,,,,,9,3
5109,,2,,2,,,,,4,2
5110,1,5,5,4,,,,,15,4
5111,1,,4,3,,,,,8,3
5112,,3,3,,,,,,6,2
5113,,3,1,2,,,,,6,3
5114,,3,1,11,,,,,15,3
5115,,5,,5,,,,,10,2
5116,,11,,5,,,,,16,2
5201,,,,3,,,,,3,1
5202,1,,1,3,,,,,5,3
5203,3,,1,1,,,,,5,3
5204,1,,,2,,,,,3,2
5205,1,,1,3,1,,,,6,4
5206,,2,1,4,,2,,,9,4
5207,,3,,1,,,,,4,2
5208,1,,,1,,,,,2,2
5209,,1,1,2,,,,,4,3
5210,,3,1,4,,,,,8,3
5211,,1,3,5,,2,1,,12,5
5212,,2,2,4,,,,,8,3
5213,,5,1,4,,,,,10,3
5214,,5,1,,,,,,6,2
5215,,3,1,6,,,,,10,3
5216,,8,2,7,,1,,,18,4
5301,,,,4,,,,,4,2
5302,,,1,,,,,,1,1
5303,,,1,1,,,,1,3,3
5304,2,,1,2,,,,,5,3
5305,3,1,1,2,,,,,7,4
5306,1,1,2,1,,,,,5,4
5307,,1,1,3,1,,,,6,4
5308,3,1,1,1,,,,,6,4
5309,,,2,,,,,,2,1
5310,,,3,1,,,,,4,2
5311,,2,2,2,,,,,6,3
5312,,4,1,1,,1,,,7,4
5313,,7,1,1,,,,,9,3
5314,,4,2,4,,,,,10,3
5315,,2,,1,,,,,3,2
5316,,3,,5,,,,,8,2
5401,2,,,9,,,,,11,2
5402,5,,5,3,,,,,13,3
5403,2,,,,,,,,2,1
5404,1,,2,,,,,,3,2
5405,1,,1,4,,,,,6,3
5406,5,,1,1,,,,,7,3
5407,3,,2,5,,,,,10,3
5408,,,2,7,,,1,,10,3
5409,,4,2,4,,,,,10,3
5410,,5,,5,,,,,10,2
5411,,3,2,2,,,,,7,3
5412,,7,1,,,,,,8,2
5413,,11,2,1,,,,,14,3
5414,,8,1,,,,,,9,2
5415,,1,,6,,,,,7,2
5416,,9,,8,,,,,17,2
6101,1,3,1,,,,,,5,3
6102,,1,1,3,,,,,5,3
6103,,1,,3,,,,,4,2
6104,1,5,2,4,,,,,12,4
6105,4,,1,1,,,,,6,3
6106,3,,2,1,1,,,,7,4
6107,1,2,2,,,,,,5,3
6108,,,2,1,,,,,3,2
6109,2,1,1,1,,,,,5,4
6110,1,2,3,2,1,,,,9,5
6111,1,,3,4,,,,,8,3
6112,1,1,,4,,,,,6,3
6113,,7,,2,,,,,9,2
6114,,5,1,1,,,,,7,3
6115,1,2,,,,,,,3,2
6116,2,1,2,3,,,,,8,4
6201,1,3,,2,,,,,6,3
6202,,1,1,4,,,,,6,3
6203,1,,,1,,,,,2,2
6204,1,,,,,,,,1,1
6205,,,2,,,,,,2,1
6206,,,,1,,,,,1,1
6207,,,1,1,,,,,2,2
6208,,,1,,,,,,1,1
6209,2,,1,1,,,,,4,3
6210,,,1,,,,,,1,1
6211,,3,,,,,,,3,1
6212,,1,,,,,,,1,1
6213,,1,,,,,,,1,1
6214,,2,,3,,,,,5,2
6215,,1,,6,,,,,7,2
6216,,,,5,,1,,,6,2
6301,,6,1,2,,,,,9,3
6302,,2,,1,,,,,3,2
6303,,,2,4,,,,,6,2
6304,,,1,1,,,,,2,2
6305,1,,1,,,,,,2,2
6306,,,,,,,,,0,0
6307,1,,1,,,,,,2,2
6308,2,,,,,,,,2,1
6309,,,1,,,,,,1,1
6310,,,1,1,,,,,2,2
6311,,,,2,,,,,2,1
6312,,4,,1,,,,,5,2
6313,,1,,1,,,,,2,2
6314,,5,,2,,,,,7,2
6315,,,1,5,,,,,6,2
6316,,3,,3,,,,,6,2
6401,,3,2,2,,,,,7,3
6402,1,1,2,3,,,,,7,4
6403,,2,4,4,,,,,10,3
6404,4,1,3,1,,,,,9,4
6405,,,3,1,,,,,4,2
6406,1,,6,,,,,,7,2
6407,2,,4,,,,,,6,2
6408,5,1,1,,,,,,7,3
6409,3,,2,2,,,,,7,3
6410,1,1,2,1,,,,,5,4
6411,,1,1,5,,,,,7,3
6412,,,1,6,,,1,,8,3
6413,,2,3,5,,,,,10,3
6414,,4,,5,,,,,9,2
6415,,8,1,3,,,,,12,3
6416,,8,2,5,,,,,15,3
7101,,1,2,1,,,,,4,3
7102,2,,1,2,1,,,,6,4
7103,1,,6,,,,,,7,2
7104,5,,3,,,,,,8,2
7105,1,,5,3,,,,,9,3
7106,3,,4,2,,,,,9,3
7107,1,,4,1,,,,,6,3
7108,2,,1,2,,,,,5,3
7109,,3,2,3,,,,,8,3
7110,4,,,4,,,,,8,2
7111,3,,2,2,,,,,7,3
7112,,,2,1,,,,,3,2
7113,2,3,2,2,1,,,,10,5
7114,2,,2,1,4,,,,9,4
7115,2,3,3,,2,,,,10,4
7116,1,4,3,,3,,,,11,4
7201,4,,2,4,,,,,10,3
7202,3,,1,1,,,,,5,3
7203,5,,1,3,,,,,9,3
7204,4,,,,,,,,4,1
7205,,,3,4,,,,1,8,3
7206,2,,,3,,,,,5,2
7207,1,1,1,3,,,,,6,4
7208,1,,1,4,,,,,6,3
7209,2,,5,4,,,,,11,3
7210,1,,,2,1,,,,4,3
7211,2,,,,1,,,,3,2
7212,2,,2,,3,,,,7,3
7213,1,,1,2,,,,,4,3
7214,,,3,2,,,,1,6,4
7215,1,1,2,3,,,,,7,5
7216,2,,3,3,,,,1,9,4
7301,,,,3,,,,,3,1
7302,2,,1,,,,,,3,2
7303,,,1,1,,,,,2,2
7304,2,,1,,,,,,3,2
7305,,,,2,,1,,,3,2
7306,,,1,,,,,,1,1
7307,,,1,2,,,,,3,2
7308,1,,,1,,,,,2,2
7309,2,,,5,,,,,7,2
7310,1,,2,2,1,,,,6,4
7311,,,2,,,,,,2,1
7312,,,2,,2,,,,4,3
7313,2,1,,2,,,,,5,3
7314,,2,5,1,,,,,8,3
7315,,1,2,2,,,,,5,3
7316,,1,2,4,,,,,7,3
7401,7,,2,3,,,,,12,3
7402,,,2,,1,,,,3,2
7403,1,,3,1,,,,,5,3
7404,3,,4,2,,,,,9,3
7405,2,,,3,,,,,5,2
7406,3,,4,,,,,,7,2
7407,1,,3,1,,,,,5,3
7408,2,,1,,,,,,3,2
7409,,2,1,,,,,,3,2
7410,,,4,2,1,,,,7,3
7411,2,,6,,2,,,,10,3
7412,1,,3,1,2,,,,7,4
7413,1,,1,2,2,,,,6,4
7414,2,,3,1,,,,,6,3
7415,1,1,4,6,,,,,12,4
7416,3,4,1,1,,1,,,10,5
8101,2,,2,,,,,,4,2
8102,2,,3,1,,,,,6,3
8103,3,,2,,,,,,5,2
8104,1,2,1,,,,,,4,3
8105,2,,2,1,1,,,,6,4
8106,2,,,2,,,,,4,2
8107,1,,,,1,,,,2,2
8108,1,,3,2,1,,,,7,4
8109,,,4,4,,,,,8,2
8110,1,,,1,1,,,,3,3
8111,1,,,1,,,,,2,2
8112,2,,1,,,,,,3,2
8113,2,,3,,,,,,5,2
8114,,,1,2,1,,,,4,3
8115,,,2,1,,,,,3,2
8116,2,,1,2,,,,1,6,5
8201,,,4,1,,,,,5,2
8202,,,2,,,,,,2,1
8203,1,,2,,1,1,,,5,4
8204,,,,4,,,,1,5,2
8205,,,1,,,,,,1,1
8206,1,,2,2,,,,,5,3
8207,2,,1,3,,,,,6,3
8208,1,,,,1,,,,2,2
8209,,,,,1,,,,1,1
8210,,,1,1,1,,,,3,3
8211,,,1,1,,,,,2,2
8212,2,,1,1,,,,,4,3
8213,,,,,,,,,0,1
8214,,,6,,,,,,6,1
8215,1,,3,2,1,,,,7,4
8216,,,4,,3,,,,7,2
8301,1,,3,1,,,,,5,3
8302,,,,3,,,,,3,1
8303,1,,,,,,,,1,1
8304,2,1,2,3,1,,,,9,5
8305,2,,1,,,,,,3,2
8306,3,,1,1,,,,,5,3
8307,,,1,,,,,,1,1
8308,,,,5,,,,,5,1
8309,,,1,,,,,,1,1
8310,1,,1,,,,,,2,2
8311,,,1,,1,1,,,3,3
8312,,,1,2,,,,,3,2
8313,,,,1,2,,,,3,2
8314,,,1,2,2,,,,5,3
8315,,,1,,,,1,,2,2
8316,,,2,1,2,,,1,6,4
8401,1,,2,3,,,,,6,3
8402,1,,,1,1,,,,3,3
8403,,,1,1,,,,,2,2
8404,3,,3,2,,,,,8,3
8405,2,,1,1,,,,,4,3
8406,1,,2,,,,,,3,2
8407,,,,,,,,,0,0
8408,,,5,,1,,,,6,2
8409,,,3,1,,,,,4,2
8410,,,4,,,,,,4,1
8411,,,2,,,,,,2,1
8412,,1,,,,,,,1,2
8413,2,,1,3,,,,2,8,4
8414,1,,3,,,,,,4,2
8415,,,4,1,1,,,,6,3
8416,2,,3,,,,,1,6,3
11101,1,,4,1,1,,,,7,4
11102,2,1,1,2,,,,,6,4
11103,,,,2,1,,,,3,2
11104,,,4,,2,,,,6,2
11105,,1,1,,,,,1,3,3
11106,2,,2,,,,,,4,2
11107,1,2,7,,,,,,10,3
11108,1,,3,1,,,,,5,3
11109,3,,1,1,2,,,,7,4
11110,,1,3,1,,3,,,8,4
11111,1,4,,1,,,,,6,3
11112,2,6,,5,1,,,,14,4
11113,,4,,7,,,,,11,2
11114,,5,,4,,,,,9,2
11115,,13,,2,,,,1,16,3
11116,,2,,5,,,,,7,2
11201,3,,,5,,,,,8,2
11202,,,2,4,,,,,6,2
11203,1,1,2,3,,,,,7,4
11204,,,1,2,,,,,3,2
11205,,,,,,,,,0,0
11206,,1,2,1,,1,1,,6,5
11207,1,,1,1,,,,,3,3
11208,2,,1,,,,,,3,2
11209,1,,1,,1,,,,3,3
11210,1,1,2,4,,,,,8,4
11211,,1,,1,,,,,2,2
11212,1,6,,2,,,,,9,3
11213,,1,1,2,,,,,4,3
11214,,6,,5,,,,1,12,3
11215,,4,3,2,,,,,9,3
11216,,6,1,3,,,,1,11,4
11301,,,,1,,,,,1,1
11302,,,1,6,,,,,7,2
11303,,2,,3,2,,,,7,3
11304,,,,1,1,,1,,3,3
11305,,,,1,1,,,,2,2
11306,1,,,,,,,,1,2
11307,2,,1,,1,,,,4,3
11308,,,1,1,,,,,2,1
11309,,1,,3,1,,,,5,3
11310,,,1,2,,,,,3,2
11311,1,,,1,,,,,2,2
11312,,2,,3,,,,,5,2
11313,,1,2,2,,,,,5,3
11314,,2,,5,1,,,,8,3
11315,,4,,2,,,,,6,2
11316,,2,1,3,,1,,,7,4
11401,1,,,1,,,,,2,2
11402,1,1,,2,,,,,4,3
11403,,2,1,4,5,1,,,13,5
11404,,,,2,2,,,,4,2
11405,2,,1,2,1,,,,6,4
11406,,,,4,,,,1,5,2
11407,2,,1,2,1,,,,6,4
11408,1,,1,1,1,,,,4,4
11409,1,,,2,4,1,,,8,4
11410,2,,2,2,2,1,,,9,5
11411,,2,,4,1,,,,7,3
11412,,7,1,5,,,,,13,3
11413,,3,1,5,,,,,9,3
11414,,3,,4,,,,,7,2
11415,,4,,2,,,,,6,2
11416,,3,1,3,,1,,,8,4
12101,1,,2,,,,,,3,2
12102,,,2,,,,,,2,1
12103,,,1,,1,,,,2,2
12104,2,,1,,1,,,,4,3
12105,4,,,2,,,,,6,2
12106,,,,,,,,,0,0
12107,1,,,,1,,,,2,2
12108,2,,2,,1,,,,5,3
12109,,,,,,,,,0,0
12110,,,,,,,1,,1,1
12111,,,,,,,,,0,0
12112,,,2,,,,,,2,1
12113,1,,,,,,,,1,1
12114,,,1,,,,,,1,1
12115,2,,2,1,,,,,5,3
12116,3,,3,1,,,,,7,3
12201,1,,1,1,,,,,3,3
12202,1,,,,1,,,,2,2
12203,4,,2,,,,,,6,2
12204,1,,,1,1,,,,3,3
12205,1,,,,1,,,,2,2
12206,3,,2,,,,,,5,2
12207,,,,,,,,,0,0
12208,2,,,1,,,,,3,2
12209,2,1,,,,,,,3,2
12210,1,,,1,,,,,2,2
12211,,,,,,,,,0,0
12212,4,,1,,,,,,5,2
12213,1,,1,,,,,,2,2
12214,,,,,,,,,0,0
12215,2,,1,,,,,,3,2
12216,2,,,,1,,,,3,2
12301,,,2,,2,,,,4,2
12302,3,,,,,,,,3,1
12303,,,3,,,,,,3,1
12304,,,,2,1,,,,3,2
12305,,,,,,,,,0,0
12306,,,2,,,,,,2,1
12307,,,2,,,,,,2,1
12308,,,2,,1,,,,3,2
12309,1,,,,,,,,1,1
12310,1,,,,,,,,1,1
12311,,,,,1,,,,1,1
12312,,,,,,,,,0,0
12313,1,,,,,,,,1,1
12314,1,,1,1,,,,,3,3
12315,1,,,1,,,,,2,2
12316,,,2,,,,,,2,1
12401,1,,4,,,,,,5,2
12402,1,,1,1,,,,,3,3
12403,,,1,1,,,,,2,2
12404,,1,2,,,,,,3,2
12405,,,1,,3,,,,4,2
12406,,,1,,1,,,,2,2
12407,,,,,1,,,,1,1
12408,,,1,1,,,,,2,2
12409,3,,1,,,,,,4,2
12410,1,,1,,,,,,2,2
12411,1,,2,,,,,,3,2
12412,1,,2,,,,,,3,2
12413,2,,1,,,,,,3,2
12414,,,2,,,,,,2,1
12415,2,,2,1,,,,,5,3
12416,1,,3,,,,,,4,2
13101,1,,3,2,,1,,,7,4
13102,3,,,2,,,,,5,2
13103,4,,,,,,,,4,1
13104,2,,,,,,,,2,1
13105,1,,,1,,,,,2,2
13106,2,1,1,1,,,,,5,4
13107,1,,1,,1,,,,3,3
