#S,ID,Occ,Det
2,591,1,1101
2,631,3,1101
6,XX0928,1,1101
6,XX0928,3,1101
3,C51466,3,1102
6,XX0991,3,1103
1,22,2,1104
3,630,1,1104
3,C51473,3,1104
6,XX0930,1,1104
3,C51558,2,1105
5,XX0165,3,1106
3,630,3,1107
4,PKM001,1,1107
5,XX0165,1,1107
5,XX0165,2,1107
2,590,1,1110
4,C52099,1,1111
6,XX0932,1,1111
6,XX0932,2,1111
4,C51468,1,1112
6,XX0936,1,1113
4,C52144,3,1115
3,M007,3,1115
2,631,2,1201
3,C51559,3,1201
3,C51561,2,1201
6,XX0880,1,1201
6,XX0928,2,1201
2,592,1,1202
6,XX0880,2,1202
3,C51275,1,1203
5,XX0080,3,1204
4,C52137,2,1206
6,XX0884,1,1206
4,C52099,2,1207
5,XX0068,2,1207
4,24,2,1208
5,XX0167,1,1208
2,24,3,1209
4,24,1,1209
6,XX0891,2,1210
2,594,1,1212
4,C51468,2,1213
6,XX0936,2,1213
5,XX0068,3,1214
3,M008,2,1215
2,635,3,1216
4,C52140,2,1301
4,C52155,1,1301
6,XX0080,2,1301
6,XX0896,2,1303
6,XX0944,1,1304
1,108,1,1306
4,C52154,1,1306
4,C52154,2,1306
6,XX0896,1,1306
3,624,3,1308
6,XX0894,1,1308
4,C51464,2,1310
6,XX0891,1,1311
4,C52170,3,1312
4,C52170,2,1313
2,623,1,1314
6,C51557,1,1314
6,XX0889,1,1314
4,C52153,1,1315
6,XX0888,1,1315
3,624,2,1316
1,23,2,1401
3,C51220,1,1401
4,C52165,2,1401
2,23,1,1402
1,114,2,1402
4,C52155,2,1402
6,XX0942,1,1402
3,C51459,2,1403
3,C51563,3,1403
4,C52118,1,1403
5,XX0085,3,1403
6,XX0941,1,1403
2,24,1,1404
4,C52118,2,1404
4,C52118,3,1404
1,113,2,1405
4,C52154,3,1406
4,C52166,2,1407
1,24,3,1408
6,XX0940,1,1408
2,625,1,1410
3,C51220,2,1410
4,C51561,1,1410
3,C51219,1,1411
6,XX0939,1,1411
6,XX0939,2,1411
4,C51467,1,1412
4,C51467,3,1412
6,C51467,1,1412
6,C51467,2,1412
4,C52124,1,1412
2,625,2,1413
2,625,3,1413
6,XX0973,2,1413
6,XX0974,2,1413
4,C52153,2,1414
6,XX0976,2,1414
6,XX0889,2,1415
6,XX0988,3,1415
1,26,3,1416
5,XX0083,3,1416
1,104,1,2101
1,104,2,2101
5,XX0312,1,2101
5,XX0321,3,2101
6,XX0784,1,2101
6,XX0784,2,2101
1,105,1,2102
1,105,2,2102
1,105,3,2102
5,XX0321,2,2102
6,XX0784,3,2102
2,579,1,2103
2,581,1,2106
2,582,1,2108
5,XX0316,1,2108
2,61,2,2110
1,102,1,2110
1,102,2,2111
1,102,3,2111
4,935,1,2111
3,106,1,2112
5,XX0317,1,2112
3,C51018,3,2113
6,C51919,2,2113
6,C51919,3,2113
6,XX0788,1,2113
1,106,1,2114
5,C51919,2,2114
6,C51919,1,2114
5,XX0317,3,2114
2,1,1,2115
5,C51919,1,2115
5,XX0317,2,2115
4,C51747,2,2201
5,XX0321,1,2201
6,XX0793,1,2201
4,C51746,2,2202
4,C51949,3,2202
6,XX0857,3,2202
6,XX0809,3,2203
5,XX0316,3,2205
6,XX0839,2,2205
2,58,2,2207
5,XX0325,3,2209
2,613,1,2211
4,935,3,2211
6,XX0815,3,2211
6,XX0837,2,2211
5,XX0282,2,2212
2,106,1,2213
3,C51012,2,2213
2,703,3,2215
5,C51919,3,2215
2,705,3,2301
5,XX0312,2,2301
6,XX0816,3,2301
2,101,1,2303
4,C51933,3,2304
4,C51938,3,2304
5,XX0285,2,2304
1,111,3,2306
5,XX0325,2,2307
6,XX0316,1,2308
3,C51013,2,2309
3,C51013,3,2309
6,XX0316,3,2309
6,XX0815,1,2310
6,XX0815,2,2310
6,XX0788,3,2312
4,C51919,2,2315
4,C51920,1,2315
6,XX0906,3,2315
4,C51919,1,2316
4,C51923,3,2401
4,C51950,3,2401
5,XX0312,2,2401
6,XX0809,1,2401
6,XX0810,1,2401
6,XX0810,3,2401
4,C51933,2,2402
5,XX0285,3,2402
1,7,2,2403
1,7,3,2403
5,XX0292,3,2403
2,604,1,2404
4,C51934,2,2404
4,C51934,3,2404
5,XX0287,2,2404
6,XX0809,2,2404
2,633,3,2405
4,C51923,2,2405
1,111,2,2406
5,XX0326,1,2407
5,XX0325,1,2408
2,5,1,2409
6,XX0326,1,2409
6,XX0812,1,2409
6,XX0326,2,2410
6,XX0825,1,2410
3,C51015,2,2411
5,PKM70,2,2411
6,XX0817,1,2411
1,16,1,2412
2,607,1,2412
2,607,3,2412
2,608,3,2412
3,C51009,1,2412
5,PKM70,1,2413
5,XX0291,3,2413
2,608,1,2414
4,C51920,2,2416
6,XX0904,3,2416
1,140,3,3101
4,C51858,1,3101
4,C51858,2,3102
4,C51859,1,3102
6,XX0391,2,3102
4,C51860,1,3103
6,XX0356,2,3103
1,141,3,3104
3,C51298,1,3104
4,C51862,3,3104
5,XX0101,1,3104
4,C51861,1,3105
4,C51861,2,3105
5,C51858,2,3106
4,C51864,3,3106
1,125,2,3107
4,C51862,1,3107
4,C51862,2,3107
4,C51863,1,3107
4,C51863,3,3107
4,C52044,3,3107
6,XX0369,3,3107
4,C51864,1,3108
4,C52107,3,3108
6,XX0359,2,3108
3,C51293,1,3109
6,XX0359,3,3109
1,130,3,3110
6,XX0359,1,3110
4,C52078,3,3111
4,C52077,2,3112
5,XX0102,1,3112
1,126,2,3113
3,C51212,3,3114
4,C51257,2,3114
3,C51258,2,3114
5,C51205,3,3115
4,C51257,3,3115
4,C51865,1,3115
4,C51205,1,3116
3,C51297,2,3116
3,C51299,1,3116
4,C51865,3,3116
6,XX0361,2,3116
6,XX0361,3,3116
4,C52108,2,3201
6,XX0356,1,3201
6,XX0356,3,3201
6,XX0371,3,3201
5,XX0104,3,3202
6,XX0357,1,3203
4,C51860,2,3204
4,C52107,2,3204
4,C51861,3,3205
4,C51250,3,3207
3,C51253,2,3208
4,C52079,1,3208
6,PKM71,1,3208
4,C52077,3,3211
1,130,2,3213
3,C51253,1,3215
4,C51257,1,3215
1,129,2,3216
3,C51251,3,3216
6,XX0361,1,3216
4,C51858,3,3301
5,XX0104,2,3301
5,XX0106,3,3301
5,XX0104,3,3303
4,C52094,3,3304
4,C52079,3,3306
6,XX0369,2,3306
4,C52078,1,3307
4,C52079,2,3307
6,XX0101,2,3308
3,C51201,2,3309
6,XX0101,3,3309
5,PKM50,1,3311
3,C51206,2,3312
5,C52044,3,3312
4,C52077,1,3313
3,C51252,1,3314
3,C51250,1,3315
4,C52050,3,3315
3,C51255,3,3316
4,C51865,2,3316
4,C52050,1,3316
4,C51265,3,3401
5,XX0104,1,3401
6,XX0371,1,3401
5,XX0109,3,3405
3,C51201,3,3406
4,C51265,1,3406
4,C51265,2,3406
6,XX0101,1,3406
6,XX0357,3,3407
4,C51250,1,3408
5,PKM52,1,3408
5,XX0105,2,3408
6,XX0357,2,3408
4,C52044,1,3409
5,C52044,1,3409
5,XX0101,2,3409
3,C51202,2,3410
4,C52044,2,3410
5,XX0101,3,3410
6,XX0369,1,3410
5,C52044,2,3413
4,C52046,3,3413
4,C52047,2,3413
3,C51268,3,3414
4,C52046,1,3414
4,C52046,2,3414
4,C52047,1,3414
4,C52047,3,3414
5,C51205,2,3415
3,C51292,1,3415
5,PKM51,1,3416
6,XX0623,2,4101
4,C51593,3,4106
4,C51074,2,4108
4,C51546,3,4109
3,C51065,2,4111
3,C51065,3,4111
4,C51065,3,4111
3,C51074,1,4111
6,XX0259,1,4112
6,XX0611,1,4113
4,C51649,3,4115
3,C51189,3,4116
4,C51525,1,4116
4,C51584,2,4116
6,XX0259,2,4116
5,XX0234,1,4201
6,XX0373,3,4204
4,C51074,1,4209
4,C51644,3,4210
4,C51065,1,4211
4,C51065,2,4211
4,C51590,2,4212
4,C51590,3,4212
5,XX0259,3,4212
6,XX0611,2,4212
4,C51649,2,4215
4,C51189,2,4216
6,XX0701,2,4216
6,XX0621,1,4301
5,XX0269,3,4302
6,XX0621,3,4303
6,XX0621,2,4304
3,C51074,3,4310
5,XX0259,2,4313
3,C51100,2,4314
3,C51100,3,4315
4,C51189,1,4316
4,C51641,3,4401
5,XX0230,3,4401
6,XX0623,3,4401
6,XX0641,1,4401
6,XX0675,3,4401
5,XX0230,1,4402
6,XX0643,1,4405
6,XX0643,2,4406
5,XX0262,2,4409
6,XX0644,1,4409
6,XX0644,2,4409
4,C51630,2,4411
5,XX0261,2,4411
6,XX0644,3,4411
1,49,2,4414
4,C51525,2,4416
6,XX0666,3,4416
5,C51504,3,5101
4,C51754,3,5101
6,XX0372,1,5101
6,XX0373,1,5101
6,XX0373,2,5101
3,C51193,3,5103
4,C51504,3,5104
4,C51869,1,5104
6,XX0511,3,5104
4,C51504,1,5105
4,C51504,2,5105
4,C51509,2,5105
4,C51627,3,5105
5,XX0012,3,5108
6,XX0512,3,5108
3,C51178,2,5110
3,C51178,3,5110
4,C51178,2,5110
4,C51444,1,5110
5,XX0118,3,5110
3,C51195,3,5111
4,C51195,2,5111
6,C51195,1,5111
6,C51511,3,5111
4,C51195,1,5112
6,C51195,2,5112
