Sess-Gd-Occ ID,Session,Min Temp,Max Temp,Avg Wind,Max Wind,Precip (mm),Moon Score
1_1_1,1,0.094444444,9.661111111,5.972460125,8.94894,5,1
1_1_2,1,1.127777778,15.44444444,2.556039125,5.89593,0,1
1_1_3,1,-0.638888889,21.16666667,1.776880875,4.74714,0,1
1_11_1,1,5.466666667,26.77777778,4.103813875,7.98789,0,1
1_11_2,1,10.06111111,25.99444444,4.261567625,6.8391,0,1
1_11_3,1,6.377777778,28.66666667,2.443749,5.46234,0,1
1_12_1,1,5.466666667,26.77777778,4.103813875,7.98789,0,1
1_12_2,1,10.06111111,25.99444444,4.261567625,6.8391,0,1
1_12_3,1,6.377777778,28.66666667,2.443749,5.46234,0,1
1_13_1,1,2.761111111,29.88888889,1.996357875,4.93935,0,1
1_13_2,1,16.40555556,30.44444444,6.799931625,11.14371,0,1
1_13_3,1,9.077777778,31.38888889,2.84511775,5.68584,0,1
1_14_1,1,2.761111111,29.88888889,1.996357875,4.93935,0,1
1_14_2,1,16.40555556,30.44444444,6.799931625,11.14371,0,1
1_14_3,1,9.077777778,31.38888889,2.84511775,5.68584,0,1
1_15_1,1,8.8,30.33333333,3.916334625,11.38509,0,0
1_15_2,1,9.577777778,22.52777778,5.86639075,8.61816,0,0
1_15_3,1,2.166666667,27.55555556,0.968351,2.519292,0,0
1_16_1,1,8.8,30.33333333,3.916334625,11.38509,0,0
1_16_2,1,9.577777778,22.52777778,5.86639075,8.61816,0,0
1_16_3,1,2.166666667,27.55555556,0.968351,2.519292,0,0
1_17_1,1,6.25,31.61111111,1.454072375,3.87996,0,0
1_17_2,1,8.35,32.55555556,2.42478875,6.46362,0,0
1_17_3,1,13.71111111,31.83333333,4.972279,9.82506,0,0
1_18_1,1,6.25,31.61111111,1.454072375,3.87996,0,0
1_18_2,1,8.35,32.55555556,2.42478875,6.46362,0,0
1_18_3,1,13.71111111,31.83333333,4.972279,9.82506,0,0
1_2_1,1,0.094444444,9.661111111,5.972460125,8.94894,5,1
1_2_2,1,1.127777778,15.44444444,2.556039125,5.89593,0,1
1_2_3,1,-0.638888889,21.16666667,1.776880875,4.74714,0,1
1_3_1,1,7.538888889,21.87222222,2.17230825,4.85442,0,0
1_3_2,1,8.083333333,22.35,3.13008025,6.04344,0,0
1_3_3,1,6.522222222,23.6,3.685608125,7.04472,0,0
1_4_1,1,7.538888889,21.87222222,2.17230825,4.85442,0,0
1_4_2,1,8.083333333,22.35,3.13008025,6.04344,0,0
1_4_3,1,6.522222222,23.6,3.685608125,7.04472,0,0
1_5_1,1,6.75,27.61111111,0.976546,1.776378,0,0
1_5_2,1,9.038888889,30.05555556,1.70571475,4.18839,0,0
1_5_3,1,8.205555556,30.83333333,2.696136375,6.13284,0,0
1_6_1,1,6.75,27.61111111,0.976546,1.776378,0,0
1_6_2,1,9.038888889,30.05555556,1.70571475,4.18839,0,0
1_6_3,1,8.205555556,30.83333333,2.696136375,6.13284,0,0
1_7_1,1,9.377777778,26.55555556,1.8741965,5.10027,0,0
1_7_2,1,9.855555556,24.37777778,4.728496375,9.80271,0,1
1_7_3,1,8.166666667,19.96666667,6.20983575,10.4598,8,1
1_8_1,1,9.377777778,26.55555556,1.8741965,5.10027,0,0
1_8_2,1,9.855555556,24.37777778,4.728496375,9.80271,0,1
1_8_3,1,8.166666667,19.96666667,6.20983575,10.4598,8,1
2_1_1,2,9.361111111,23.63888889,7.29947275,11.50578,0,1
2_1_2,2,1.6,19.73333333,1.688263125,4.26885,0,1
2_1_3,2,3.361111111,25.57777778,2.44807,4.7382,0,1
2_11_1,2,10.7,35.22222222,4.355884625,9.51663,0,0
2_11_2,2,10.59444444,32.22222222,2.59986375,6.06579,0,0
2_11_3,2,11.23333333,30.66666667,5.65756725,10.08879,0,0
2_12_1,2,10.7,35.22222222,4.355884625,9.51663,0,0
