#Det,Gd,Q_BGrsCnt,Q_BGrdAvg,Q_CRBAvg,Q_LtrAvg,Q_CGvlAvg,Q_GvlAvg,Q_SDnCnt,Q_MDnCnt,Q_GrsAvg,Q_FbsAvg,Q_ShbAvg,Sh_NNAvg,Sh_CpyPct,Sh_HtAvg,Sh_Cnt,Sh_SR,Q_FbGsAvg
1316,1,12,85.625,0,2.5,1.25,8.75,2,0,1.25,0.625,4.375,41.33333333,21.84748146,25.83333333,6,1,0.9375
8316,8,6,41.25,0.625,11.875,1.25,62.5,0,3,0,13.75,0,700,0,0,0,0,6.875
1402,1,43,71.25,1.875,2.5,2.5,8.75,1,2,2.5,4.375,11.25,33,22.36470324,36.9,10,1,3.4375
19403,19,5,85,0,2.5,0.625,1.875,0,4,6.25,11.875,0,700,0,0,0,0,9.0625
19409,19,9,71.25,0.625,2.5,0.625,2.5,0,0,0.625,0.625,19.375,9.444444444,42.98496351,31.66666667,9,1,0.625
19404,19,35,79.375,0,2.5,1.25,2.5,0,3,7.5,11.875,0,700,0,0,0,0,9.6875
3109,3,39,73.125,0,2.5,0,1.875,0,5,5.625,0,13.75,32.44444444,31.20191796,33.55555556,9,1,2.8125
19302,19,3,79.375,0,2.5,0,0,0,1,1.875,21.25,0,700,0,0,0,0,11.5625
19101,19,15,88.125,0,2.5,1.25,1.25,0,0,2.5,5.625,0,700,0,0,0,0,4.0625
19301,19,6,73.75,0,2.5,0,0,0,0,2.5,26.25,0,700,0,0,0,0,14.375
19203,19,14,85,0,2.5,0,1.875,0,4,1.25,15,0,700,0,0,0,0,8.125
5202,5,30,85,0.625,5.625,3.75,1.666666667,1,2,2.5,5.625,0,232,6.256939133,45,3,2,4.0625
12116,12,0,97.5,0,2.5,0.625,60,0,3,0,3.125,0,700,0,0,0,0,1.5625
19105,19,14,88.125,0,2.5,0.625,0.625,0,2,3.75,11.875,0,700,0,0,0,0,7.8125
12416,12,26,91.25,0.625,2.5,1.25,60,0,9,5,6.25,0,700,0,0,0,0,5.625
12102,12,29,88.125,0.625,2.5,0.625,2.5,0,2,2.5,1.25,0,700,0,0,0,0,1.875
12414,12,9,73.125,0,2.5,0.625,37.5,0,3,7.5,3.75,0,700,0,0,0,0,5.625
19405,19,15,85,0,2.5,0.625,1.875,0,6,3.125,15.625,0,700,0,0,0,0,9.375
