Date,Session,Occ,Grid
4/12/2012,1,1,1
4/14/2012,1,2,1
4/15/2012,1,3,1
5/24/2012,2,1,1
5/26/2012,2,2,1
5/27/2012,2,3,1
4/29/2013,3,1,1
4/30/2013,3,2,1
5/1/2013,3,3,1
6/9/2013,4,1,1
6/10/2013,4,2,1
6/11/2013,4,3,1
4/8/2014,5,1,1
4/9/2014,5,2,1
4/10/2014,5,3,1
6/19/2014,6,1,1
6/20/2014,6,2,1
6/22/2014,6,3,1
4/12/2012,1,1,2
4/14/2012,1,2,2
4/15/2012,1,3,2
5/24/2012,2,1,2
5/26/2012,2,2,2
5/27/2012,2,3,2
3/14/2013,3,1,2
3/15/2013,3,2,2
3/16/2013,3,3,2
5/18/2013,4,1,2
5/19/2013,4,2,2
5/20/2013,4,3,2
5/2/2014,5,1,2
5/3/2014,5,2,2
5/4/2014,5,3,2
6/8/2014,6,1,2
6/9/2014,6,2,2
6/10/2014,6,3,2
4/16/2012,1,1,3
4/17/2012,1,2,3
4/18/2012,1,3,3
5/28/2012,2,1,3
5/29/2012,2,2,3
5/30/2012,2,3,3
4/18/2013,3,1,3
4/19/2013,3,2,3
4/20/2013,3,3,3
6/5/2013,4,1,3
6/6/2013,4,2,3
6/7/2013,4,3,3
3/24/2014,5,1,3
3/25/2014,5,2,3
3/26/2014,5,3,3
5/8/2014,6,1,3
5/9/2014,6,2,3
5/10/2014,6,3,3
4/16/2012,1,1,4
4/17/2012,1,2,4
4/18/2012,1,3,4
5/28/2012,2,1,4
5/29/2012,2,2,4
5/30/2012,2,3,4
4/2/2013,3,1,4
4/3/2013,3,2,4
4/4/2013,3,3,4
5/5/2013,4,1,4
5/6/2013,4,2,4
5/7/2013,4,3,4
4/27/2014,5,1,4
4/28/2014,5,2,4
4/29/2014,5,3,4
6/2/2014,6,1,4
6/3/2014,6,2,4
6/4/2014,6,3,4
4/19/2012,1,1,5
4/20/2012,1,2,5
4/21/2012,1,3,5
6/8/2012,2,1,5
6/9/2012,2,2,5
6/10/2012,2,3,5
4/2/2013,3,1,5
4/3/2013,3,2,5
4/4/2013,3,3,5
5/5/2013,4,1,5
5/6/2013,4,2,5
5/7/2013,4,3,5
3/27/2014,5,1,5
3/28/2014,5,2,5
3/29/2014,5,3,5
5/8/2014,6,1,5
5/9/2014,6,2,5
5/10/2014,6,3,5
4/19/2012,1,1,6
4/20/2012,1,2,6
4/21/2012,1,3,6
6/8/2012,2,1,6
6/9/2012,2,2,6
6/10/2012,2,3,6
4/17/2013,3,1,6
4/18/2013,3,2,6
4/19/2013,3,3,6
6/5/2013,4,1,6
6/6/2013,4,2,6
6/7/2013,4,3,6
4/4/2014,5,1,6
4/5/2014,5,2,6
4/6/2014,5,3,6
5/5/2014,6,1,6
5/6/2014,6,2,6
5/7/2014,6,3,6
4/23/2012,1,1,7
4/24/2012,1,2,7
4/25/2012,1,3,7
6/23/2012,2,1,7
6/24/2012,2,2,7
6/25/2012,2,3,7
4/13/2013,3,1,7
4/14/2013,3,2,7
4/15/2013,3,3,7
6/1/2013,4,1,7
6/2/2013,4,2,7
6/3/2013,4,3,7
3/27/2014,5,1,7
3/28/2014,5,2,7
3/29/2014,5,3,7
5/19/2014,6,1,7
5/22/2014,6,2,7
5/23/2014,6,3,7
4/23/2012,1,1,8
4/24/2012,1,2,8
4/25/2012,1,3,8
6/23/2012,2,1,8
6/24/2012,2,2,8
6/25/2012,2,3,8
4/10/2013,3,1,8
4/11/2013,3,2,8
4/12/2013,3,3,8
6/1/2013,4,1,8
6/2/2013,4,2,8
6/3/2013,4,3,8
4/27/2014,5,1,8
4/28/2014,5,2,8
4/29/2014,5,3,8
6/2/2014,6,1,8
6/3/2014,6,2,8
6/4/2014,6,3,8
5/9/2012,1,1,11
5/10/2012,1,2,11
5/11/2012,1,3,11
6/20/2012,2,1,11
6/21/2012,2,2,11
6/22/2012,2,3,11
4/5/2013,3,1,11
4/6/2013,3,2,11
4/7/2013,3,3,11
5/9/2013,4,1,11
5/11/2013,4,2,11
5/12/2013,4,3,11
3/31/2014,5,1,11
4/2/2014,5,2,11
4/3/2014,5,3,11
5/24/2014,6,1,11
5/25/2014,6,2,11
5/26/2014,6,3,11
5/9/2012,1,1,12
5/10/2012,1,2,12
5/11/2012,1,3,12
6/20/2012,2,1,12
6/21/2012,2,2,12
6/22/2012,2,3,12
4/10/2013,3,1,12
4/11/2013,3,2,12
4/12/2013,3,3,12
5/9/2013,4,1,12
5/11/2013,4,2,12
5/12/2013,4,3,12
4/2/2014,5,1,12
4/3/2014,5,2,12
4/4/2014,5,3,12
4/24/2014,6,1,12
4/25/2014,6,2,12
4/26/2014,6,3,12
5/12/2012,1,1,13
5/13/2012,1,2,13
5/15/2012,1,3,13
6/17/2012,2,1,13
6/18/2012,2,2,13
6/19/2012,2,3,13
3/17/2013,3,1,13
3/18/2013,3,2,13
3/19/2013,3,3,13
5/14/2013,4,1,13
5/15/2013,4,2,13
5/16/2013,4,3,13
4/20/2014,5,1,13
4/21/2014,5,2,13
4/22/2014,5,3,13
5/27/2014,6,1,13
5/28/2014,6,2,13
5/29/2014,6,3,13
5/12/2012,1,1,14
5/13/2012,1,2,14
5/15/2012,1,3,14
6/17/2012,2,1,14
6/18/2012,2,2,14
6/19/2012,2,3,14
3/17/2013,3,1,14
3/18/2013,3,2,14
3/19/2013,3,3,14
5/29/2013,4,1,14
5/30/2013,4,2,14
5/31/2013,4,3,14
4/20/2014,5,1,14
4/21/2014,5,2,14
4/22/2014,5,3,14
5/27/2014,6,1,14
5/28/2014,6,2,14
5/29/2014,6,3,14
5/16/2012,1,1,15
5/17/2012,1,2,15
5/18/2012,1,3,15
6/14/2012,2,1,15
6/15/2012,2,2,15
6/16/2012,2,3,15
4/5/2013,3,1,15
4/6/2013,3,2,15
4/7/2013,3,3,15
5/14/2013,4,1,15
5/15/2013,4,2,15
5/16/2013,4,3,15
4/23/2014,5,1,15
4/24/2014,5,2,15
4/25/2014,5,3,15
5/30/2014,6,1,15
5/31/2014,6,2,15
6/1/2014,6,3,15
5/16/2012,1,1,16
5/17/2012,1,2,16
5/18/2012,1,3,16
6/14/2012,2,1,16
6/15/2012,2,2,16
6/16/2012,2,3,16
3/21/2013,3,1,16
3/22/2013,3,2,16
3/23/2013,3,3,16
5/29/2013,4,1,16
5/30/2013,4,2,16
5/31/2013,4,3,16
4/23/2014,5,1,16
4/24/2014,5,2,16
4/25/2014,5,3,16
5/30/2014,6,1,16
5/31/2014,6,2,16
6/1/2014,6,3,16
5/20/2012,1,1,17
5/21/2012,1,2,17
5/22/2012,1,3,17
6/26/2012,2,1,17
6/27/2012,2,2,17
6/28/2012,2,3,17
3/20/2013,3,1,17
3/21/2013,3,2,17
3/22/2013,3,3,17
5/18/2013,4,1,17
5/19/2013,4,2,17
5/20/2013,4,3,17
4/5/2014,5,1,17
4/6/2014,5,2,17
4/7/2014,5,3,17
6/5/2014,6,1,17
6/6/2014,6,2,17
6/7/2014,6,3,17
5/20/2012,1,1,18
5/21/2012,1,2,18
5/22/2012,1,3,18
6/26/2012,2,1,18
6/27/2012,2,2,18
6/28/2012,2,3,18
4/29/2013,3,1,18
4/30/2013,3,2,18
5/1/2013,3,3,18
6/13/2013,4,1,18
6/14/2013,4,2,18
6/15/2013,4,3,18
5/5/2014,5,1,18
5/6/2014,5,2,18
5/7/2014,5,3,18
6/18/2014,6,1,18
6/19/2014,6,2,18
6/20/2014,6,3,18
5/2/2013,3,1,19
5/3/2013,3,2,19
5/4/2013,3,3,19
