#Det,Easting,Northing,,GdNo
1101,494730.6315,4230244.112,/,1
1102,494719.6315,4230245.112,/,1
1103,494709.6315,4230246.112,/,1
1104,494699.6315,4230252.112,/,1
1105,494690.6315,4230251.112,/,1
1106,494680.6315,4230253.112,/,1
1107,494672.6315,4230254.112,/,1
1108,494662.6315,4230256.112,/,1
1109,494652.6315,4230258.112,/,1
1110,494644.6315,4230262.112,/,1
1111,494631.6315,4230265.112,/,1
1112,494621.6315,4230265.112,/,1
1113,494610.6315,4230267.112,/,1
1114,494603.6315,4230272.112,/,1
1115,494594.6315,4230276.112,/,1
1116,494583.6315,4230281.112,/,1
1201,494729.6315,4230253.112,/,1
1202,494724.6315,4230255.112,/,1
1203,494712.6315,4230259.112,/,1
1204,494699.6315,4230257.112,/,1
1205,494688.6315,4230262.112,/,1
1206,494681.6315,4230259.112,/,1
1207,494672.6315,4230265.112,/,1
1208,494659.6315,4230264.112,/,1
1209,494651.6315,4230262.112,/,1
1210,494643.6315,4230270.112,/,1
1211,494633.6315,4230272.112,/,1
1212,494620.6315,4230277.112,/,1
1213,494615.6315,4230275.112,/,1
1214,494607.6315,4230284.112,/,1
1215,494595.6315,4230288.112,/,1
1216,494583.6315,4230292.112,/,1
1301,494733.6315,4230259.112,/,1
1302,494724.6315,4230260.112,/,1
1303,494711.6315,4230262.112,/,1
1304,494705.6315,4230265.112,/,1
1305,494696.6315,4230268.112,/,1
1306,494684.6315,4230272.112,/,1
1307,494675.6315,4230274.112,/,1
1308,494665.6315,4230276.112,/,1
1309,494656.6315,4230276.112,/,1
1310,494644.6315,4230286.112,/,1
1311,494635.6315,4230286.112,/,1
1312,494628.6315,4230293.112,/,1
1313,494616.6315,4230296.112,/,1
1314,494608.6315,4230296.112,/,1
1315,494596.6315,4230303.112,/,1
1316,494588.6315,4230307.112,/,1
1401,494736.6315,4230276.112,/,1
1402,494724.6315,4230273.112,/,1
1403,494714.6315,4230279.112,/,1
1404,494704.6315,4230281.112,/,1
1405,494696.6315,4230281.112,/,1
1406,494687.6315,4230284.112,/,1
1407,494680.6315,4230283.112,/,1
1408,494664.6315,4230288.112,/,1
1409,494655.6315,4230285.112,/,1
1410,494647.6315,4230288.112,/,1
1411,494638.6315,4230288.112,/,1
1412,494627.6315,4230292.112,/,1
1413,494621.6315,4230296.112,/,1
1414,494610.6315,4230300.112,/,1
1415,494600.6315,4230305.112,/,1
1416,494589.6315,4230310.112,/,1
2101,494604.6315,4230757.112,/,2
2102,494589.6315,4230758.112,/,2
2103,494581.6315,4230763.112,/,2
2104,494570.6315,4230764.112,/,2
2105,494562.6315,4230768.112,/,2
2106,494554.6315,4230771.112,/,2
2107,494543.6315,4230774.112,/,2
2108,494532.6315,4230777.112,/,2
2109,494521.6315,4230779.112,/,2
2110,494512.6315,4230783.112,/,2
2111,494501.6315,4230782.112,/,2
2112,494491.6315,4230786.112,/,2
2113,494482.6315,4230788.112,/,2
2114,494472.6315,4230787.112,/,2
2115,494463.6315,4230792.112,/,2
2116,494453.6315,4230795.112,/,2
2201,494603.6315,4230768.112,/,2
2202,494593.6315,4230770.112,/,2
2203,494583.6315,4230774.112,/,2
2204,494573.6315,4230775.112,/,2
2205,494563.6315,4230778.112,/,2
2206,494556.6315,4230785.112,/,2
2207,494546.6315,4230784.112,/,2
2208,494536.6315,4230786.112,/,2
2209,494526.6315,4230789.112,/,2
2210,494517.6315,4230792.112,/,2
2211,494508.6315,4230796.112,/,2
2212,494496.6315,4230796.112,/,2
2213,494485.6315,4230795.112,/,2
2214,494476.6315,4230797.112,/,2
2215,494466.6315,4230799.112,/,2
2216,494453.6315,4230802.112,/,2
2301,494605.6315,4230775.112,/,2
2302,494597.6315,4230776.112,/,2
2303,494586.6315,4230780.112,/,2
2304,494577.6315,4230784.112,/,2
2305,494567.6315,4230786.112,/,2
2306,494556.6315,4230794.112,/,2
2307,494545.6315,4230796.112,/,2
2308,494533.6315,4230798.112,/,2
2309,494527.6315,4230801.112,/,2
2310,494519.6315,4230804.112,/,2
2311,494607.6315,4230806.112,/,2
2312,494497.6315,4230809.112,/,2
2313,494488.6315,4230809.112,/,2
2314,494476.6315,4230809.112,/,2
2315,494468.6315,4230814.112,/,2
2316,494456.6315,4230817.112,/,2
2401,494606.6315,4230789.112,/,2
2402,494597.6315,4230791.112,/,2
2403,494587.6315,4230794.112,/,2
2404,494581.6315,4230798.112,/,2
2405,494569.6315,4230803.112,/,2
2406,494561.6315,4230804.112,/,2
2407,494550.6315,4230807.112,/,2
2408,494540.6315,4230807.112,/,2
2409,494531.6315,4230811.112,/,2
2410,494523.6315,4230814.112,/,2
2411,494511.6315,4230815.112,/,2
2412,494502.6315,4230816.112,/,2
2413,494491.6315,4230818.112,/,2
2414,494481.6315,4230819.112,/,2
2415,494472.6315,4230819.112,/,2
2416,494460.6315,4230820.112,/,2
3101,494375.6315,4231413.112,/,3
3102,494372.6315,4231415.112,/,3
3103,494362.6315,4231417.112,/,3
3104,494355.6315,4231421.112,/,3
3105,494339.6315,4231421.112,/,3
3106,494335.6315,4231423.112,/,3
3107,494325.6315,4231425.112,/,3
3108,494314.6315,4231426.112,/,3
3109,494305.6315,4231430.112,/,3
3110,494295.6315,4231435.112,/,3
3111,494281.6315,4231436.112,/,3
3112,494275.6315,4231439.112,/,3
3113,494261.6315,4231441.112,/,3
3114,494256.6315,4231441.112,/,3
3115,494243.6315,4231444.112,/,3
3116,494231.6315,4231448.112,/,3
